Journals_Data_Title,journal_autofix_title,Journals_Data_ISSN,Journals_Data_INVBR,Journals_Data_Location,Journals_Data_Journal_Ext_Info,Source_Line,CLEAN_ISSN,CLEAN_TITLE,CLEAN_TITLE_ext,CLEAN_PUBLISHER
"Bulletin of the Museum of Comparative Zoology, (1863) Cambridge",Bulletin of the Museum of Comparative Zoology,0027-4100,P-907,Rovinj,"118 (1958) No. 1,|119 (1958) No. …,2,….,6,|121 (1959) No. …,4,|122 (1960) No. …,2,|125 (1961) No. 1,…,9-12|128 (1962/63) No. …,2,…,4,…,6,|132 (1964) No. …,2,…,5,|133 (1965) No. 1,|134 (1966) No. …,2,…,5,…,7,|135 (1967) No. …,2-3,…,5-7,|136 (1969) No. …,5,…,10-11|138 (1969) No. …,4,…,7,|139 (1969) No. …,4,…,7|140 (1970) No. …,5,|142 (1971) No. 1,|145 (1973) No. …,5-6,|146 (1974) No. …,3,…,9,|147 ( 1975) No. …,2,|148 (1977/78) No. …,2,…,8,|150 (1982) No. 1-2,","Bulletin of the Museum of Comparative Zoology, (1863) Cambridge|ISSN 0027-4100|inv. br. P-907|||118 (1958) No. 1,|119 (1958) No. …,2,….,6,|121 (1959) No. …,4,|122 (1960) No. …,2,|125 (1961) No. 1,…,9-12|128 (1962/63) No. …,2,…,4,…,6,|132 (1964) No. …,2,…,5,|133 (1965) No. 1,|134 (1966) No. …,2,…,5,…,7,|135 (1967) No. …,2-3,…,5-7,|136 (1969) No. …,5,…,10-11|138 (1969) No. …,4,…,7,|139 (1969) No. …,4,…,7|140 (1970) No. …,5,|142 (1971) No. 1,|145 (1973) No. …,5-6,|146 (1974) No. …,3,…,9,|147 ( 1975) No. …,2,|148 (1977/78) No. …,2,…,8,|150 (1982) No. 1-2,							****Rovinj",,,,
"Bulletin of the Ocean Research Institute University of Tokyo, (1967) Tokyo",Bulletin of the Ocean Research Institute University of Tokyo,0564-6898,P-908,Rovinj,1 (1967) – 1970,"Bulletin of the Ocean Research Institute University of Tokyo, (1967) Tokyo|ISSN 0564-6898|inv. br. P-908|||1 (1967) – 1970 							****Rovinj",,,,
"Bulletin of the Scripps Institution of Oceanography, Non-technical Series, (1916) Berkeley",Bulletin of the Scripps Institution of Oceanography,0080-8318,P-909,Rovinj,"6 (1955) No. ...,8|7 (1957/60) – 16 (1971)|19 (1971) no.1,2,...,4,..,6-8|20 (1972)","Bulletin of the Scripps Institution of Oceanography, Non-technical Series, (1916) Berkeley|ISSN 0080-8318|inv. br. P-909|||6 (1955) No. ...,8|7 (1957/60) – 16 (1971)|19 (1971) no.1,2,...,4,..,6-8|20 (1972) 								****Rovinj",,,,
"Bulletin Zoologisch Museum (Universiteit van Amsterdam), Amsterdam",Bulletin Zoologisch Museum (Universiteit van Amsterdam),,P-910,Rovinj,1 (1966/70)|3 (1973/74),"Bulletin Zoologisch Museum (Universiteit van Amsterdam), Amsterdam|inv. br. P-910|||1 (1966/70)|3 (1973/74) 								****Rovinj",,,,
"Cahiers de Biolgie Marine, (1960) Paris",Cahiers de Biolgie Marine,0007-9723,P-911,Rovinj,"1 (1960) – 4 (1963) No. …,3-5,|5 (1965) – 9 (1968) No. 1,…,3-5,|10 (1969) – 22 (1981)","Cahiers de Biolgie Marine, (1960) Paris|ISSN 0007-9723|inv. br. P-911|||1 (1960) – 4 (1963) No. …,3-5,|5 (1965) – 9 (1968) No. 1,…,3-5,|10 (1969) – 22 (1981)					****Rovinj",,,,
"Cahiers Oceanographiques, Service hydrographique de la marine, (1949) Paris",Cahiers Oceanographiques,0008-0411,P-912,Rovinj,"1 (1949) – 10 (1958) No. 1,|11 (1959) – 15 (1963) No. ...,2|20 (1968) No. 1-3,...,5-10|21 (1969) – 23 (1971)","Cahiers Oceanographiques, Service hydrographique de la marine, (1949) Paris|ISSN 0008-0411|inv. br. P-912|||1 (1949) – 10 (1958) No. 1,|11 (1959) – 15 (1963) No. ...,2|20 (1968) No. 1-3,...,5-10|21 (1969) – 23 (1971) 					****Rovinj",,,,
"Caldasia, (1940) Bogota",Caldasia,0366-5232,P-913,Rovinj,8 (1958/62) – 13 (1980),"Caldasia, (1940) Bogota|ISSN 0366-5232|inv. br. P-913||8 (1958/62) – 13 (1980)					****Rovinj",,,,
"Canadian Journal of Biochemistry, (1929) Ottawa",Canadian Journal of Biochemistry,0008-4018,P-914,Rovinj,"42 (1964) No. 1-11,|43 (1965)|45 (1967) – 47 (1969) No. 1,…,3-12|48 (1970) – 54 (1976)|56 (1978) – 62 (1984)","Canadian Journal of Biochemistry, (1929) Ottawa|ISSN 0008-4018|inv. br. P-914|||42 (1964) No. 1-11,|43 (1965)|45 (1967) – 47 (1969) No. 1,…,3-12|48 (1970) – 54 (1976)|56 (1978) – 62 (1984)					****Rovinj",,,,
"Canadian Journal of Fisheries and Aquatic Sciences, (1980) Ottawa",Canadian Journal of Fisheries and Aquatic Sciences,0706-652X,P-915,Rovinj,15 (1980) – 28 (1992),"Canadian Journal of Fisheries and Aquatic Sciences, (1980) Ottawa|ISSN 0706-652X|inv. br. P-915|||15 (1980) – 28 (1992) 					****Rovinj",,,,
"Canadian Journal of Physics, (1929) Ottawa",Canadian Journal of Physics,0008-4204,P-4,Arhiv 1. krilo,* do vol. 28 (1950) izlazi kao: Canadian Journal of Research|29 (1951) – 59 (1981)|61 (1983) – 62 (1984),"Canadian Journal of Physics, (1929) Ottawa|ISSN 0008-4204|inv. br. P-4|||* do vol. 28 (1950) izlazi kao: Canadian Journal of Research||29 (1951) – 59 (1981)|61 (1983) – 62 (1984)					****Arhiv 1. krilo",,,,
"Canadian Journal of Physiology and Pharmacology, (1964) Ottawa",Canadian Journal of Physiology and Pharmacology,0008-4212,P-916,Arhiv 1. krilo,"60 (1982) No. 1-2,…,5-12|61 (1983) No. …,2-12	|62 (1984) – 63 (1985) No. …,11,","Canadian Journal of Physiology and Pharmacology, (1964) Ottawa|ISSN 0008-4212|inv. br. P-916|||60 (1982) No. 1-2,…,5-12|61 (1983) No. …,2-12	|62 (1984) – 63 (1985) No. …,11,				****Arhiv 1. krilo",,,,
"Canadian Journal of Research, (1929) Ottawa",Canadian Journal of Research,0366-6581,P-4/1,Arhiv 1. krilo,27 (1949) – 28 (1950) 					|* od vol. 29 (1951) izlazi kao: Canadian Journal of Physics:,"Canadian Journal of Research, (1929) Ottawa|ISSN 0366-6581|inv. br. P-4/1|||27 (1949) – 28 (1950) 					****Arhiv 1. krilo||* od vol. 29 (1951) izlazi kao: Canadian Journal of Physics:",,,,
"Cancer Chemotherapy Reports - Part 1,2,3, (1959) Bethesda",Cancer Chemotherapy Reports - Part 1,0069-0112,P-515,Arhiv 1. krilo,"Part 1|56 (1972) No. ...,2-6|57 (1973) – 58 (1974) No. 1-5,|59 (1975)|* od vol. 60 (1976) izlazi kao: Cancer Treatment Reports|Part 2|3 (1972) No. 1,|4 (1974) No. 1-4,|5 (1975) No. 1,|Part 3|3 (1972) No. 1-2|4 (1973) No. 1-2|5 (1974) No. 1,...|6 (1975) No. 1-2","Cancer Chemotherapy Reports - Part 1,2,3, (1959) Bethesda|ISSN 0069-0112|inv. br. P-515|||Part 1|56 (1972) No. ...,2-6|57 (1973) – 58 (1974) No. 1-5,|59 (1975)||* od vol. 60 (1976) izlazi kao: Cancer Treatment Reports||Part 2|3 (1972) No. 1,|4 (1974) No. 1-4,|5 (1975) No. 1,||Part 3|3 (1972) No. 1-2|4 (1973) No. 1-2|5 (1974) No. 1,...|6 (1975) No. 1-2						****Arhiv 1. krilo",,,,
"Cancer Gene Therapy, (1994) Norwalk, Ct",Cancer Gene Therapy,0929-1903,P-917,5. krilo,14 (2007) – 16 (2009),"Cancer Gene Therapy, (1994) Norwalk, Ct|ISSN 0929-1903|inv. br. P-917|||14 (2007) – 16 (2009)					****5. krilo",,,,
"Cancer Immunology and Immunotherapy, (1976) Heidelberg",Cancer Immunology and Immunotherapy,0340-7004,P-569,Arhiv 1. krilo,"1 (1976) – 16 (1983) No. 1,","Cancer Immunology and Immunotherapy, (1976) Heidelberg|ISSN 0340-7004|inv. br. P-569|||1 (1976) – 16 (1983) No. 1,					****Arhiv 1. krilo",,,,
"Cancer and Metastasis Reviews, (1981) Dordrecht",Cancer and Metastasis Reviews,0167-7659,P-918,5. krilo,18 (1999) – 20 (2001),"Cancer and Metastasis Reviews, (1981) Dordrecht|ISSN 0167-7659|inv. br. P-918|||18 (1999) – 20 (2001)					****5. krilo",0167-7659,Cancer and metastasis review,,Springer ; Kluwer Academic Publishers
"Cancer Research, (1941) Baltimore",Cancer Research,0008-5472,P-630,Arhiv 1. krilo,"39 (1979) No. 4-6,..., 9-12|40 (1980) - 42 (1982) No. 1-3,|43 (1983) No. 1-4,..., 6-11,|44 (1984) No. 1,..., 3,..., 5-9,..., 11-12|1987-1995				|---------------------------------------------------------------------------|67 (2007) – 69 (2009)	|70 (2010)","Cancer Research, (1941) Baltimore|ISSN 0008-5472|inv. br. P-630|||39 (1979) No. 4-6,..., 9-12|40 (1980) - 42 (1982) No. 1-3,|43 (1983) No. 1-4,..., 6-11,|44 (1984) No. 1,..., 3,..., 5-9,..., 11-12|1987-1995				****Arhiv 1. krilo   |---------------------------------------------------------------------------|67 (2007) – 69 (2009)	|70 (2010)	****5. krilo",,,,
"Cancer Treatment Reports, (1959) Bethesda",Cancer Treatment Reports,0361-5960,P-515,Arhiv 1. krilo,"* do vol. 59 (1975) izlazi kao: Cancer Chemotherapy Reports - Part 1|60 (1976) No. 1-8,..., 10-12|61 (1977) – 71 (1987)","Cancer Treatment Reports, (1959) Bethesda|ISSN 0361-5960|inv. br. P-515|||* do vol. 59 (1975) izlazi kao: Cancer Chemotherapy Reports - Part 1||60 (1976) No. 1-8,..., 10-12|61 (1977) – 71 (1987)					****Arhiv 1. krilo",,,,
"Cancer Treatment Symposia, (1983) Bethesda",Cancer Treatment Symposia,,P-919,Arhiv 1. krilo,(1983) – (1985),"Cancer Treatment Symposia, (1983) Bethesda|inv. br. P-919|||(1983) – (1985)						****Arhiv 1. krilo",,,,
"Cancergram, (1988) Washington",Cancergram,,P-920,Arhiv 1. krilo,Ser. CB19 (1990) – CB20 (1990)|CT1 (1990) – CT23 (1991),"Cancergram, (1988) Washington|inv. br. P-920|||Ser. CB19 (1990) – CB20 (1990)|CT1 (1990) – CT23 (1991)					****Arhiv 1. krilo",,,,
"Carbohydrate Research, (1965) Amsterdam",Carbohydrate Research,0008-6215,P-380,3. krilo,"1 (1965) – 195 (1989) 					|---------------------------------------------------------------------|196 (1990) – 208 (1990) 					|210 (1991) – 339 (2004) No. 1-3,…","Carbohydrate Research, (1965) Amsterdam|ISSN 0008-6215|inv. br. P-380|||1 (1965) – 195 (1989) 					****3. krilo|---------------------------------------------------------------------|196 (1990) – 208 (1990) 					****5. krilo|210 (1991) – 339 (2004) No. 1-3,…",0008-6215,Carbohydrate research,,Elsevier
"Carcinogenesis, (1980) London",Carcinogenesis,0143-3334,P-921,5. krilo,"18 (1997) - 25 (2004)	|26 (2005) No. 1,2,…","Carcinogenesis, (1980) London|ISSN 0143-3334|inv. br. P-921|||18 (1997) - 25 (2004)	|26 (2005) No. 1,2,…						****5. krilo",,,,
"Carus Zoologischer Anzeiger, (1878)",Carus Zoologischer Anzeiger,,P-922,Rovinj,1 (1878) – 140 (1958),"Carus Zoologischer Anzeiger, (1878)|inv. br. P-922|||1 (1878) – 140 (1958) 					****Rovinj",,,,
"Casopis Slezskeko Muzea, (1952) Opava",Casopis Slezskeko Muzea,0323-0627,P-923,Rovinj,"12 (1963) No. 1,...,4-5|13 (1964) – 15 (1966) No. 1-3","Casopis Slezskeko Muzea, (1952) Opava|ISSN 0323-0627|inv. br. P-923|||12 (1963) No. 1,...,4-5|13 (1964) – 15 (1966) No. 1-3 				****Rovinj",,,,
"CASSI (Chemical Abstracts Service Source Index Quarterly), Columbus",CASSI (Chemical Abstracts Service Source Index Quarterly),0001-0634,P-514,Arhiv 1. krilo,"1972 No. ...,4|1973 No. ...,2-4|1974 – 1979|1980 No. 1-3,|1981 – 1982 No. ...,4|1975|1989								|------------------------------------------------------------------------|1994","CASSI (Chemical Abstracts Service Source Index Quarterly), Columbus|ISSN 0001-0634|inv. br. P-514|||1972 No. ...,4|1973 No. ...,2-4|1974 – 1979|1980 No. 1-3,|1981 – 1982 No. ...,4|1975|1989								****Arhiv 1. krilo|------------------------------------------------------------------------|1994								****5. krilo",,,,
Catalogue des Mammiferes Sauages du Maroc,Catalogue des Mammiferes Sauages du Maroc,,P-924,Rovinj,"5 (1982) – 7 (1984)|9 (1986) No. 1,...,3-5","Catalogue des Mammiferes Sauages du Maroc|inv. br. P-924|||5 (1982) – 7 (1984)|9 (1986) No. 1,...,3-5 						****Rovinj",,,,
"Cell, (1974) Cambridge, Massachusetts",Cell,0092-8674,P-925,Arhiv 1. krilo,"19 (1980) – 22 (1980) No. 1,...3,...|23 (1980) – 27 (1981)|33 (1983) – 43 (1985) No.1- 2,...|44 (1986) – 46 (1986) No. 1-5,...|47 (1986) No. 1-2,...5-6,...|48 (1987) – 59 (1989) 					|-------------------------------------------------------------|60 (1990) – 64 (1991) No. ...,2-6				|65 (1991) – 70 (1992) No. ...,2-6|71 (1992) – 74 (1993) No. 1-3,…,5-6|75 (1993) – 78 (1994) No. 1-3,…,5-6|79 (1994) – 85 (1996) No. 1-2,…,4-7|86 (1996) No. 1-2,…,4-6|87 (1996) – 95 (1998)|96 (1992) No. 2|99 (1999) No. ...,3-6|100 (2000) No. ...,3-6|101 (2000) – 111 (2002)	|116 (2004) – 120 (2005) No. 1-4,|124 (2006) – 155 (2013)","Cell, (1974) Cambridge, Massachusetts|ISSN 0092-8674|inv. br. P-925|||19 (1980) – 22 (1980) No. 1,...3,...|23 (1980) – 27 (1981)|33 (1983) – 43 (1985) No.1- 2,...|44 (1986) – 46 (1986) No. 1-5,...|47 (1986) No. 1-2,...5-6,...|48 (1987) – 59 (1989) 					****Arhiv 1. krilo|-------------------------------------------------------------|60 (1990) – 64 (1991) No. ...,2-6				****5. krilo|65 (1991) – 70 (1992) No. ...,2-6|71 (1992) – 74 (1993) No. 1-3,…,5-6|75 (1993) – 78 (1994) No. 1-3,…,5-6|79 (1994) – 85 (1996) No. 1-2,…,4-7|86 (1996) No. 1-2,…,4-6|87 (1996) – 95 (1998)|96 (1992) No. 2|99 (1999) No. ...,3-6|100 (2000) No. ...,3-6|101 (2000) – 111 (2002)	|116 (2004) – 120 (2005) No. 1-4,|124 (2006) – 155 (2013)|",0092-8674,Cell,,Cell Press
"Cell Death & Differentiation, (1994) Oxford	",Cell Death & Differentiation,1350-9047,P-926,5. krilo (preklopne police),14 (2007) – 20 (2013),"Cell Death & Differentiation, (1994) Oxford	|ISSN 1350-9047|inv. br. P-926|||14 (2007) – 20 (2013)		    	****5. krilo (preklopne police)",,,,
"Cell and Tissue Kinetics, (1968) Oxford",Cell and Tissue Kinetics,0008-8730,P-554,Arhiv 1. krilo,"9 (1976) – 14 (1981)|16 (1983) – 19 (1986)|20 (1987) No. ...,2-6","Cell and Tissue Kinetics, (1968) Oxford|ISSN 0008-8730|inv. br. P-554|||9 (1976) – 14 (1981)|16 (1983) – 19 (1986)|20 (1987) No. ...,2-6						****Arhiv 1. krilo",,,,
"Central European Astrophysical Bulletin, (2006) Zagreb",Central European Astrophysical Bulletin,1845-8319,P-927,Arhiv 1. krilo,30 (2006) – 38 (2014)					|* do 29 (2005) izlazi kao: Hvar Observatory Bulletin,"Central European Astrophysical Bulletin, (2006) Zagreb|ISSN 1845-8319|inv. br. P-927|||30 (2006) – 38 (2014)					**** Arhiv 1. krilo||* do 29 (2005) izlazi kao: Hvar Observatory Bulletin",,,,
"Centre de Recherches Oceanographiques Abidjan, Documents Scientifiques, (1970) Abidjan",Centre de Recherches Oceanographiques Abidjan,,P-928,Rovinj,"1966 No. 1-5,...,10|1967 No. 14,...,19,|1968 No. 21-23,...,25-28,...,30-31|1969 No. 33-35,...,37","Centre de Recherches Oceanographiques Abidjan, Documents Scientifiques, (1970) Abidjan|inv. br. P-928|||1966 No. 1-5,...,10|1967 No. 14,...,19,|1968 No. 21-23,...,25-28,...,30-31|1969 No. 33-35,...,37 					****Rovinj",,,,
"Centro de Investigaciones Pesqueras Contribucion, Habana",Centro de Investigaciones Pesqueras Contribucion,,P-929,Rovinj,13 (1961) – 17 (1963)|19 (1964) – 22 (1966)|27 (1967) – 32 (1971)|34 (1972),"Centro de Investigaciones Pesqueras Contribucion, Habana|inv. br. P-929|||13 (1961) – 17 (1963)|19 (1964) – 22 (1966)|27 (1967) – 32 (1971)|34 (1972) 							****Rovinj",,,,
"Cercetari Marine (Recherches Marines), (1971) Constanta",Cercetari Marine (Recherches Marines),0250-3069,P-930,Rovinj,1 (1971) – 4 (1972)|8 (1975),"Cercetari Marine (Recherches Marines), (1971) Constanta|ISSN 0250-3069|inv. br. P-930|||1 (1971) – 4 (1972)|8 (1975) 							****Rovinj",,,,
"Ceres FAO (Food and Agriculture Organization) Review, (1968) Roma",Ceres FAO (Food and Agriculture Organization) Review,0366-5798,P-504,Rovinj,"4 (1971) No. ...,4|5 (1972) – 7 (1974)","Ceres FAO (Food and Agriculture Organization) Review, (1968) Roma|ISSN 0366-5798|inv. br. P-504|||4 (1971) No. ...,4|5 (1972) – 7 (1974) 						****Rovinj",,,,
"Cern Courier, (1961) Geneva",Cern Courier,0304-288X,P-574,Arhiv 1. krilo,"16 (1976) – 19 (1979/80) No. 1-6,...,8-10|20 (1980) No. 1-9,|21 (1981) – 23 (1983) No. 1,...,3-10|24 (1984) – 25 (1985) No. 1-3,...,5-9,|26 (1986) – 29 (1989) – 30 (1990) No. 1-9, |31 (1991) No. 1-8,…,10 + Eduardo Amaldi, Scientific Statesment|32(1992) No. 1-7,…,9-10|33 (1993) No. 1-4,…, 6-10|34 (1994) No. 1-4,...,6,|35 (1995) No. 1-9,						|36 (1996) No. 1-8, 						|37 (1997) – 39 (1999) No. 1-9,|40 (2000) – 49 (2009) No. 1-3,…, 5-10|50 (2010)|51 (2011) No. 1-5,…,7-10|52 (2012) - 57 (2017)|58 (2018) No. 1-7,…,9-10|59 (2019)|60 (2020) No. 1, …, 3-6|61 (2021) No. 1, 2, …, 4-6	|62 (2022)	------>","Cern Courier, (1961) Geneva|ISSN 0304-288X|inv. br. P-574|||16 (1976) – 19 (1979/80) No. 1-6,...,8-10|20 (1980) No. 1-9,|21 (1981) – 23 (1983) No. 1,...,3-10|24 (1984) – 25 (1985) No. 1-3,...,5-9,|26 (1986) – 29 (1989) – 30 (1990) No. 1-9, |31 (1991) No. 1-8,…,10 + Eduardo Amaldi, Scientific Statesment|32(1992) No. 1-7,…,9-10|33 (1993) No. 1-4,…, 6-10|34 (1994) No. 1-4,...,6,|35 (1995) No. 1-9,						|36 (1996) No. 1-8, 						|37 (1997) – 39 (1999) No. 1-9,|40 (2000) – 49 (2009) No. 1-3,…, 5-10|50 (2010)|51 (2011) No. 1-5,…,7-10|52 (2012) - 57 (2017)|58 (2018) No. 1-7,…,9-10|59 (2019)|60 (2020) No. 1, …, 3-6|61 (2021) No. 1, 2, …, 4-6	|62 (2022)	------>					****Arhiv 1. krilo",0304-288X,CERN courier,,Institute of Physics (IOP) ; CERN
"Chaos, (1991) Woodburry, NY",Chaos,1054-1500,P-931,Arhiv 1. krilo,"9 (1999) – 15 (2005) No. 1,","Chaos, (1991) Woodburry, NY|ISSN 1054-1500|inv. br. P-931||9 (1999) – 15 (2005) No. 1,					**** Arhiv 1. krilo",,,,
"Chaos Solutions and Fractals, (1991) Oxford",Chaos Solutions and Fractals,0960-0779,P-932,Rovinj,1 (1991) – 10 (1999),"Chaos Solutions and Fractals, (1991) Oxford|ISSN 0960-0779|inv. br. P-932||1 (1991) – 10 (1999)						****Rovinj",0960-0779,"Chaos, solitons and fractals",,Pergamon ; Elsevier
"Chemical Abstracts, (1895) Washington",Chemical Abstracts,0009-2258,P-103,Arhiv 1. krilo,"13 (1919) – 111 (1989)					|---------------------------------------------------------------------|112 (1990) – 134 (2001) No. 1-4, 				|(2001) - (2004) 						(CD-ROM)","Chemical Abstracts, (1895) Washington|ISSN 0009-2258|inv. br. P-103||13 (1919) – 111 (1989)					****Arhiv 1. krilo|---------------------------------------------------------------------|112 (1990) – 134 (2001) No. 1-4, 				****5. krilo|(2001) - (2004) 						(CD-ROM)",0009-2258,Chemical abstracts,,American Chemical Society
"Chemical Analysis, (1945) New York",Chemical Analysis,0069-2883,P-933,3. krilo,1 (1945) – 25 (1968)|27 (1968)|34 (1972) – 35 (1972)|39 (1973)|43 (1975) – 57 (1980)|59 (1981)|61 (1981) – 62 (1981)	Sgn. 04.41/39,"Chemical Analysis, (1945) New York|ISSN 0069-2883|inv. br. P-933||1 (1945) – 25 (1968)|27 (1968)|34 (1972) – 35 (1972)|39 (1973)|43 (1975) – 57 (1980)|59 (1981)|61 (1981) – 62 (1981)	Sgn. 04.41/39			****3. krilo",,,,
"ChemBioChem: a European journal of chemical biology, (2000) Weinheim",ChemBioChem: a European journal of chemical biology,1439-4227,P-934,5. Krilo,"1 (2000) – 2 (2001) No. 1-6					|*do vol. 2 (2001) 6  izlazi u sklopu časopisa Angewandte Chemie |*od vol. 2 (2001) no.7/8 izlazi samostalno|2 (2001) No. 7/8-12	|3 (2002) – 8 (2007) No. 1,2","ChemBioChem: a European journal of chemical biology, (2000) Weinheim|ISSN 1439-4227|inv. br. P-934||1 (2000) – 2 (2001) No. 1-6					****5. Krilo||*do vol. 2 (2001) 6  izlazi u sklopu časopisa Angewandte Chemie |*od vol. 2 (2001) no.7/8 izlazi samostalno||2 (2001) No. 7/8-12	|3 (2002) – 8 (2007) No. 1,2",,,,
"Chemical and Biochemical Engineering Quarterly, (1987) Zagreb",Chemical and Biochemical Engineering Quarterly,0352-9568,P-935,,,"Chemical and Biochemical Engineering Quarterly, (1987) Zagreb|ISSN 0352-9568|inv. br. P-935|",,,,
"14 (2000) No. 1,						****5. krilo",14 (2000) No. 1,,,,17 (2003) – 26 (2012) |(više ne pretplaćujemo → Hrčak),"14 (2000) No. 1,						****5. krilo|17 (2003) – 26 (2012) |(više ne pretplaćujemo → Hrčak)",,,,
Chemical Biology and Drug Design (2006) Copenhagen,Chemical Biology and Drug Design (2006) Copenhagen,1747-0277,P-936,5. krilo,*do vol. 66 (2005) izlazi kao: Journal of Peptide Research|67 (2006),Chemical Biology and Drug Design (2006) Copenhagen|ISSN 1747-0277|inv. br. P-936|||*do vol. 66 (2005) izlazi kao: Journal of Peptide Research||67 (2006)							****5. krilo,,,,
"Chemical, Biomedical and Environmental Instrumentation, (1968) New York",Chemical,0190-4094,P-577/1,Arhiv 1. krilo,* do vol. 8 (1977) izlazi kao: Chemical Instrumentation|9 (1977) – 11 (1981)						|*od vol. 13 (1984) izlazi kao: Analytical Instrumentation,"Chemical, Biomedical and Environmental Instrumentation, (1968) New York|ISSN 0190-4094|inv. br. P-577/1|||* do vol. 8 (1977) izlazi kao: Chemical Instrumentation||9 (1977) – 11 (1981)						****Arhiv 1. krilo||*od vol. 13 (1984) izlazi kao: Analytical Instrumentation",,,,
Chemical Communications,Chemical Communications,1359-7345,P-373,3. krilo,"1965 – 1969							|* od 1970 - 1995.  godine izlazi kao: Journal of the Chemical Society D|1996 - 2005		|2007 – 2014|51 (2015) No. 1-59,…,74-100","Chemical Communications|ISSN 1359-7345|inv. br. P-373|||1965 – 1969							****3. krilo||* od 1970 - 1995.  godine izlazi kao: Journal of the Chemical Society D||1996 - 2005		|2007 – 2014|51 (2015) No. 1-59,…,74-100					****5. krilo",,,,
"Chemical and Engineering News, (1942) Washington",Chemical and Engineering News,0009-2347,P-200,Arhiv 1. krilo,"34 (1956) No 37-53|35 (1957) – 40(1962)|41 (1963) No. 1-11, 13-52|42 (1964) – 54(1972)						","Chemical and Engineering News, (1942) Washington|ISSN 0009-2347|inv. br. P-200|||34 (1956) No 37-53|35 (1957) – 40(1962)|41 (1963) No. 1-11, 13-52|42 (1964) – 54(1972)						****Arhiv 1. krilo|",,,,
"Chemical Engineering Science, (1951) Oxford",Chemical Engineering Science,0009-2509,P-153,Arhiv 1. krilo,4 (1955) – 23 (1968),"Chemical Engineering Science, (1951) Oxford|ISSN 0009-2509|inv. br. P-153|||4 (1955) – 23 (1968)						****Arhiv 1. krilo",,,,
"Chemical Instrumentation, (1968) New York",Chemical Instrumentation,0009-2592,P-577,Arhiv 1. krilo,"1 (1968) – 8 (1977) 						|* od vol. 9 (1977) izlazi kao: Chemical, Biomedical and Environmental Instrumentation","Chemical Instrumentation, (1968) New York|ISSN 0009-2592|inv. br. P-577|||1 (1968) – 8 (1977) 						****Arhiv 1. krilo||* od vol. 9 (1977) izlazi kao: Chemical, Biomedical and Environmental Instrumentation",,,,
"Chemical Physics, (1973) Amsterdam",Chemical Physics,0301-0104,P-521,3. krilo,"3 (1974) – 81 (1983)|83 (1984) – 139 (1989)					|----------------------------------------------------------------------|140 (1990) – 274 (2001) No. ...,2-3				|275 (2002) – 296 (2004) No. 1","Chemical Physics, (1973) Amsterdam|ISSN 0301-0104|inv. br. P-521|||3 (1974) – 81 (1983)|83 (1984) – 139 (1989)					****3. krilo|----------------------------------------------------------------------|140 (1990) – 274 (2001) No. ...,2-3				****5. krilo|275 (2002) – 296 (2004) No. 1",0301-0104,Chemical physics,,Elsevier
"Chemical Physics Letters, (1967) Amsterdam",Chemical Physics Letters,0009-2614,P-409,3. krilo,"1 (1967-68) – 164 (1989) 					|-------------------------------------------------------------------------|165 (1990) – 176 (1991) No. 1-4,…,6			|177 (1990) – 214 (1993) No. 1-4,…,6|215 (1993) – 230 (1994) No. 1-5,|231 (1994) – 232 (1995) No. 1-4,|233 (1995) – 235 (1995) No. 1-4,|236 (1995) – 263 (1996) No. ...,3-6|264 (1997) – 269 (1997) No. ...,3-6|270 (1997) – 382 (2004)","Chemical Physics Letters, (1967) Amsterdam|ISSN 0009-2614|inv. br. P-409|||1 (1967-68) – 164 (1989) 					****3. krilo|-------------------------------------------------------------------------|165 (1990) – 176 (1991) No. 1-4,…,6			****5. krilo|177 (1990) – 214 (1993) No. 1-4,…,6|215 (1993) – 230 (1994) No. 1-5,|231 (1994) – 232 (1995) No. 1-4,|233 (1995) – 235 (1995) No. 1-4,|236 (1995) – 263 (1996) No. ...,3-6|264 (1997) – 269 (1997) No. ...,3-6|270 (1997) – 382 (2004)",0009-2614,Chemical physics letters,,Elsevier
"Chemical and Process Engineering, (1920) London",Chemical and Process Engineering,0009-2371,P-291,Arhiv 1. krilo,"40 (1959) No. ...,8-12|41 (1960) – 49 (1968)","Chemical and Process Engineering, (1920) London|ISSN 0009-2371|inv. br. P-291|||40 (1959) No. ...,8-12|41 (1960) – 49 (1968)					****Arhiv 1. krilo",,,,
"Chemical Reviews, (1924) Washington",Chemical Reviews,0009-2665,P-125,3. krilo,"26 (1940) – 89 (1989) 					|-----------------------------------------------------------------------|90 (1990) No. 1, …						|91 (1991) – 112 (2012)","Chemical Reviews, (1924) Washington|ISSN 0009-2665|inv. br. P-125|||26 (1940) – 89 (1989) 					****3. krilo|-----------------------------------------------------------------------|90 (1990) No. 1, …						****5. krilo|91 (1991) – 112 (2012)|",0009-2665,Chemical reviews,,American Chemical Society
